,TransOrder,M_MSL,M_MHHW,Beach,Distance_ft,Max_Ero,Max_25,Max_50,Max_150
0,0,0.0,0.0,Tunitas,0.0,0.0,,,
1,22,5676.027832,5764.945313,Tunitas,88.91748050000001,6546.301743224707,6633.161107446355,6720.020471668004,7067.457928554598
2,23,5719.106445,5776.700195,Tunitas,57.59375,6553.009381195913,6640.1311212524515,6727.25286130899,7075.739821535142
3,24,5730.31543,5798.560059,Tunitas,68.24462890000001,6393.410052959269,6427.899653032706,6462.389253106143,6600.34765339989
4,25,5721.012695,5830.179688,Tunitas,109.1669922,6626.388048749188,6715.066445123159,6803.7448414971295,7158.458426993013
5,21,5617.70752,5730.711426,Tunitas,113.00390630000001,6525.78476282501,6612.661293976866,6699.53782512872,7047.043949736142
6,13,5191.882813,5241.88916,Tunitas,50.0063477,6012.08853298636,6090.797730999138,6169.506929011915,6484.343721063026
7,14,5277.167969,5311.468261999999,Tunitas,34.3002929,6074.024365071186,6153.8272071802585,6233.630049289331,6552.841417725621
8,15,5319.692383,5378.45752,Tunitas,58.765136700000006,6151.071838705654,6231.869504304275,6312.667169902896,6635.85783229738
9,16,5401.614746,5457.535645,Tunitas,55.92089839999999,6238.433233822221,6321.000626217732,6403.568018613243,6733.837588195287
10,17,5478.112793,5530.708984000001,Tunitas,52.5961914,6173.481221964893,6257.869603438703,6342.257984912512,6679.811510807752
11,18,5519.481934,5587.697754,Tunitas,68.2158203,6377.023510833876,6461.947954513502,6546.872398193129,6886.570172911637
12,19,5538.101074,5622.012207,San Geg,83.9111328,6419.30729619062,6505.217636961415,6591.127977732211,6934.769340815392
13,10,4501.359375,4789.21875,San Geg,287.859375,5169.79040896788,5239.219033868877,5308.647658769874,5586.362158373864
14,11,4497.864746,4786.554199,San Geg,288.68945310000004,5161.499028130461,5230.574820419213,5299.650612707966,5575.953781862974
15,12,4487.919434,4760.967772999999,Pomponio,273.0483398,5143.3023429068535,5212.623893681351,5281.945444455848,5559.231647553836
16,1,4026.1521,4049.5825200000004,Pomponio,23.4304199,4469.517828593291,4528.972940482185,4588.428052371078,4826.24849992665
17,2,3983.405518,4092.5996090000003,Pomponio,109.19409180000001,4569.406943769906,4630.783960412204,4692.1609770545,4937.669043623688
18,3,3938.522949,4077.567139,Pomponio,139.04418950000002,4558.55233617575,4619.470531478775,4680.388726781801,4924.0615079939025
19,4,3957.8562009999996,4029.249512,Pomponio,71.3933105,4492.388241375774,4552.769908732797,4613.15157608982,4854.678245517913
20,5,3981.016113,4012.562256,Pomponio,31.546142600000003,4460.414366937756,4520.390570259732,4580.366773581707,4820.2715868696105
21,6,4004.285889,4022.117676,Pomponio,17.8317871,4340.543167013768,4400.465633788707,4460.388100563646,4700.077967663403
22,7,4025.721436,4039.3237310000004,Pomponio,13.602295000000002,4204.69067358478,4265.391964067207,4326.093254549633,4568.898416479338
23,8,4030.3779299999997,4050.330811,Pescadero,19.952880800000003,4196.894031008608,4259.119648595928,4321.345266183249,4570.247736532529
24,94,3229.9526370000003,3272.52832,Pescadero,42.5756836,3583.4769598561525,3633.463196094847,3683.449432333541,3883.394377288318
25,95,3337.270264,3360.6933590000003,Pescadero,23.4230957,3486.8885255860587,3538.412004108637,3589.935482631216,3796.0293967215307
26,84,3405.7307130000004,3444.1049810000004,Pescadero,38.3742676,3778.7644345631143,3830.9133689653254,3883.062303367537,4091.658040976383
27,85,3436.719727,3463.8398439999996,Pescadero,27.120117200000003,3831.210608054174,3883.0742332928376,3934.937858531501,4142.392359486155
28,86,3457.2924810000004,3484.45459,Pescadero,27.1621093,3806.2476724757516,3858.640956694816,3911.03424091388,4120.607377790136
29,87,3459.2395020000004,3500.132324,Pescadero,40.8928222,3799.6305106743926,3853.1120429356292,3906.593575196866,4120.519704241813
30,88,3468.477539,3490.686035,Pescadero,22.2084961,3724.6512314011948,3777.4380859938183,3830.224940586442,4041.372358956936
31,89,3416.434082,3429.5581060000004,Pescadero,13.124023499999998,3501.7280503962884,3555.311563060555,3608.895075724821,3823.229126381886
32,90,3344.692139,3354.051025,Pescadero,9.3588867,3580.519054299726,3630.44698726815,3680.3749202365743,3880.08665211027
33,91,3286.366943,3299.671875,Pescadero,13.3049316,3474.3656094052403,3523.7851069668686,3573.204604528497,3770.882594775011
34,92,3209.544922,3233.48169,Pescadero,23.9367676,3399.138996385111,3448.975078796249,3498.811161207387,3698.155490851939
35,81,2983.261963,3226.96875,Pescadero,243.70678709999999,3736.667676448045,3787.376879359007,3838.0860822699688,4040.9228939138156
36,82,3310.673828,3349.618897,Pescadero,38.945068400000004,3639.1301177310584,3690.4084266471577,3741.6867355632567,3946.7999712276533
37,83,3370.328369,3410.8496090000003,,40.5212403,3754.360793026209,3806.2474571664197,3858.1341213066307,4065.680777867474
38,27,2997.285156,3025.626709,Gazos,28.3415527,3087.1891835980855,3133.416569732286,3179.643955866487,3364.5535004032895
