OBJECTID,TransOrder,POINT_X,POINT_Y,UniqueID,M_ft,Z_ft,Beach,Fema_VE_ft
73,1,6007240.065,1935983.561,73,4265.083478,131.0359955,Pomponio,23
74,1,6007243.306,1935983.054,74,4268.364062,129.9810028,Pomponio,23
75,1,6007246.548,1935982.546,75,4271.64502,128.5399933,Pomponio,23
76,1,6007249.789,1935982.039,76,4274.925927,126.7779999,Pomponio,23
77,1,6007253.031,1935981.531,77,4278.206561,125.0159988,Pomponio,23
78,1,6007256.272,1935981.024,78,4281.487469,123.1289978,Pomponio,23
79,1,6007259.513,1935980.516,79,4284.768427,122.6569977,Pomponio,23
80,1,6007262.755,1935980.009,80,4288.04901,121.4319992,Pomponio,23
81,1,6007265.996,1935979.502,81,4291.329968,120.5660019,Pomponio,23
82,1,6007269.238,1935978.995,82,4294.610876,119.4430008,Pomponio,23
83,1,6007272.479,1935978.487,83,4297.891834,118.6989975,Pomponio,23
84,1,6007275.72,1935977.98,84,4301.172417,117.973999,Pomponio,23
85,1,6007278.962,1935977.473,85,4304.453325,116.9570007,Pomponio,23
86,1,6007282.203,1935976.965,86,4307.734283,116.5479965,Pomponio,23
87,1,6007285.444,1935976.458,87,4311.014866,115.2519989,Pomponio,23
88,1,6007288.686,1935975.95,88,4314.295824,113.7969971,Pomponio,23
89,1,6007291.927,1935975.443,89,4317.576732,112.25,Pomponio,23
90,1,6007295.168,1935974.935,90,4320.857366,111.3659973,Pomponio,23
91,1,6007298.41,1935974.428,91,4324.138273,110.8960037,Pomponio,23
92,1,6007301.651,1935973.921,92,4327.419231,110.8079987,Pomponio,23
93,1,6007304.893,1935973.413,93,4330.700139,110.6989975,Pomponio,23
94,1,6007308.134,1935972.906,94,4333.980773,110.5739975,Pomponio,23
95,1,6007311.375,1935972.399,95,4337.26168,110.2779999,Pomponio,23
96,1,6007314.617,1935971.891,96,4340.542638,109.7600021,Pomponio,23
97,1,6007317.858,1935971.384,97,4343.823222,109.3259964,Pomponio,23
98,1,6007321.099,1935970.877,98,4347.104129,108.8919983,Pomponio,23
99,1,6007324.341,1935970.369,99,4350.385087,108.4049988,Pomponio,23
100,1,6007327.582,1935969.862,100,4353.66567,108.0759964,Pomponio,23
101,1,6007330.823,1935969.354,101,4356.946629,107.8359985,Pomponio,23
102,1,6007334.065,1935968.847,102,4360.227536,107.5650024,Pomponio,23
103,1,6007337.306,1935968.34,103,4363.508494,107.4049988,Pomponio,23
104,1,6007340.547,1935967.832,104,4366.789077,107.375,Pomponio,23
105,1,6007343.789,1935967.325,105,4370.070036,107.3010025,Pomponio,23
106,1,6007347.03,1935966.818,106,4373.350943,107.0319977,Pomponio,23
107,1,6007350.271,1935966.31,107,4376.631577,106.8529968,Pomponio,23
108,1,6007353.513,1935965.803,108,4379.912485,106.5059967,Pomponio,23
109,1,6007356.754,1935965.296,109,4383.193392,106.3219986,Pomponio,23
110,1,6007359.996,1935964.788,110,4386.474026,105.9589996,Pomponio,23
111,1,6007363.237,1935964.281,111,4389.754933,105.6470032,Pomponio,23
112,1,6007366.478,1935963.773,112,4393.035892,106.3649979,Pomponio,23
113,1,6007369.72,1935963.266,113,4396.316799,106.5019989,Pomponio,23
114,1,6007372.961,1935962.759,114,4399.597433,105.8580017,Pomponio,23
115,1,6007376.203,1935962.251,115,4402.87834,104.8450012,Pomponio,23
116,1,6007379.444,1935961.744,116,4406.159299,103.7360001,Pomponio,23
117,1,6007382.685,1935961.237,117,4409.439882,102.7340012,Pomponio,23
118,1,6007385.927,1935960.729,118,4412.72084,102.9580002,Pomponio,23
119,1,6007389.168,1935960.222,119,4416.001747,103.2659988,Pomponio,23
120,1,6007392.409,1935959.714,120,4419.282382,104.0059967,Pomponio,23
121,1,6007395.651,1935959.207,121,4422.563289,104.5500031,Pomponio,23
122,1,6007398.892,1935958.7,122,4425.844196,104.1029968,Pomponio,23
123,1,6007402.134,1935958.192,123,4429.125155,104.0360031,Pomponio,23
124,1,6007405.375,1935957.685,124,4432.405738,104.2249985,Pomponio,23
125,1,6007408.616,1935957.178,125,4435.686696,104.9039993,Pomponio,23
126,1,6007411.858,1935956.67,126,4438.967603,104.4670029,Pomponio,23
127,1,6007415.099,1935956.163,127,4442.248237,104.4670029,Pomponio,23
128,1,6007418.34,1935955.656,128,4445.529145,102.6660004,Pomponio,23
129,1,6007421.582,1935955.148,129,4448.810103,101.0630035,Pomponio,23
130,1,6007424.823,1935954.641,130,4452.090686,101.8840027,Pomponio,23
131,1,6007428.064,1935954.133,131,4455.371644,102.6419983,Pomponio,23
132,1,6007431.306,1935953.626,132,4458.652552,102.7870026,Pomponio,23
133,1,6007434.547,1935953.119,133,4461.933459,104.3669968,Pomponio,23
134,1,6007437.788,1935952.611,134,4465.214093,105.7180023,Pomponio,23
135,1,6007441.03,1935952.104,135,4468.495001,106.6119995,Pomponio,23
136,1,6007444.271,1935951.597,136,4471.775959,107.9700012,Pomponio,23
137,1,6007447.512,1935951.089,137,4475.056542,108.9589996,Pomponio,23
138,1,6007450.754,1935950.582,138,4478.3375,109.9929962,Pomponio,23
139,1,6007453.995,1935950.075,139,4481.618408,110.336998,Pomponio,23
140,1,6007457.236,1935949.567,140,4484.899042,110.6819992,Pomponio,23
141,1,6007460.478,1935949.06,141,4488.179949,111.4169998,Pomponio,23
142,1,6007463.719,1935948.552,142,4491.460907,111.8860016,Pomponio,23
143,1,6007466.961,1935948.045,143,4494.741815,112.5159988,Pomponio,23
144,1,6007470.202,1935947.538,144,4498.022449,112.7399979,Pomponio,23
145,1,6007473.443,1935947.03,145,4501.303356,113.6969986,Pomponio,23
146,1,6007476.685,1935946.523,146,4504.584264,114.2360001,Pomponio,23
147,1,6007479.926,1935946.016,147,4507.864898,115.288002,Pomponio,23
148,1,6007483.168,1935945.508,148,4511.145805,116.1689987,Pomponio,23
149,1,6007486.409,1935945.001,149,4514.426763,118.2910004,Pomponio,23
150,1,6007489.65,1935944.494,150,4517.707347,122.1289978,Pomponio,23
151,1,6007492.892,1935943.986,151,4520.988305,124.6689987,Pomponio,23
152,1,6007496.133,1935943.479,152,4524.269212,127.9400024,Pomponio,23
153,1,6007499.375,1935942.971,153,4527.55017,132.5279999,Pomponio,23
154,1,6007502.616,1935942.464,154,4530.830754,136.177002,Pomponio,23
155,1,6007505.857,1935941.957,155,4534.111712,138.7519989,Pomponio,23
156,1,6007509.099,1935941.449,156,4537.392619,139.0279999,Pomponio,23
157,1,6007512.34,1935940.942,157,4540.673203,139.5590057,Pomponio,23
158,1,6007515.581,1935940.435,158,4543.954161,139.4909973,Pomponio,23
159,1,6007518.823,1935939.927,159,4547.235068,138.0540009,Pomponio,23
160,1,6007522.064,1935939.42,160,4550.515702,136.6349945,Pomponio,23
161,1,6007525.305,1935938.913,161,4553.79661,135.0059967,Pomponio,23
162,1,6007528.547,1935938.405,162,4557.077568,134.0350037,Pomponio,23
163,1,6007531.788,1935937.898,163,4560.358475,133.1519928,Pomponio,23
164,1,6007535.029,1935937.39,164,4563.639109,132.5899963,Pomponio,23
165,1,6007538.271,1935936.883,165,4566.920017,131.9369965,Pomponio,23
166,1,6007541.512,1935936.375,166,4570.200975,131.2660065,Pomponio,23
167,1,6007544.753,1935935.868,167,4573.481558,131.2380066,Pomponio,23
168,1,6007547.995,1935935.361,168,4576.762516,131.845993,Pomponio,23
169,1,6007551.236,1935934.854,169,4580.043424,132.4649963,Pomponio,23
170,1,6007554.477,1935934.346,170,4583.324007,133.173996,Pomponio,23
171,1,6007557.719,1935933.839,171,4586.604965,133.779007,Pomponio,23
172,1,6007560.96,1935933.332,172,4589.885873,134.5090027,Pomponio,23
173,1,6007564.202,1935932.824,173,4593.166831,135.9160004,Pomponio,23
174,1,6007567.443,1935932.317,174,4596.447414,137.3029938,Pomponio,23
175,1,6007570.684,1935931.809,175,4599.728372,139.1730042,Pomponio,23
176,1,6007573.926,1935931.302,176,4603.00928,140.2960052,Pomponio,23
177,1,6007577.167,1935930.794,177,4606.289914,142.8359985,Pomponio,23
178,1,6007580.408,1935930.287,178,4609.570821,146.3110046,Pomponio,23
179,1,6007583.65,1935929.78,179,4612.851779,149.7859955,Pomponio,23
180,1,6007586.891,1935929.272,180,4616.132362,151.5679932,Pomponio,23
181,1,6007590.133,1935928.765,181,4619.41327,152.5379944,Pomponio,23
182,1,6007593.374,1935928.258,182,4622.694228,153.1690063,Pomponio,23
183,1,6007596.615,1935927.751,183,4625.975135,153.8990021,Pomponio,23
184,1,6007599.857,1935927.243,184,4629.255769,154.1109924,Pomponio,23
185,1,6007603.098,1935926.736,185,4632.536677,154.8209991,Pomponio,23
186,1,6007606.34,1935926.228,186,4635.817635,155.0140076,Pomponio,23
187,1,6007609.581,1935925.721,187,4639.098218,155.5469971,Pomponio,23
188,1,6007612.822,1935925.213,188,4642.379177,156.4290009,Pomponio,23
189,1,6007616.064,1935924.706,189,4645.660084,156.427002,Pomponio,23
190,1,6007619.305,1935924.199,190,4648.940718,156.8789978,Pomponio,23
191,1,6007622.546,1935923.691,191,4652.221625,157.1190033,Pomponio,23
192,1,6007625.788,1935923.184,192,4655.502584,157.4369965,Pomponio,23
193,1,6007629.029,1935922.677,193,4658.783491,157.7109985,Pomponio,23
194,1,6007632.27,1935922.169,194,4662.064074,157.9850006,Pomponio,23
195,1,6007635.512,1935921.662,195,4665.345032,158.2140045,Pomponio,23
196,1,6007638.753,1935921.155,196,4668.62594,158.9170074,Pomponio,23
197,1,6007641.994,1935920.647,197,4671.906574,159.4759979,Pomponio,23
198,1,6007645.236,1935920.14,198,4675.187481,159.9199982,Pomponio,23
199,1,6007648.477,1935919.632,199,4678.468439,160.7180023,Pomponio,23
200,1,6007651.718,1935919.125,200,4681.749023,161.6199951,Pomponio,23
201,1,6007654.96,1935918.618,201,4685.029981,161.7460022,Pomponio,23
202,1,6007658.201,1935918.11,202,4688.310888,161.5599976,Pomponio,23
203,1,6007661.443,1935917.603,203,4691.591846,161.9940033,Pomponio,23
204,1,6007664.684,1935917.096,204,4694.87243,163.5119934,Pomponio,23
205,1,6007667.925,1935916.588,205,4698.153337,164.2429962,Pomponio,23
206,1,6007671.167,1935916.081,206,4701.434295,164.7259979,Pomponio,23
207,1,6007674.408,1935915.574,207,4704.714879,165.2969971,Pomponio,23
208,1,6007677.649,1935915.066,208,4707.995837,165.6190033,Pomponio,23
209,1,6007680.891,1935914.559,209,4711.276744,166.5059967,Pomponio,23
210,1,6007684.132,1935914.051,210,4714.557378,167.026001,Pomponio,23
211,1,6007687.374,1935913.544,211,4717.838286,167.8049927,Pomponio,23
212,1,6007690.615,1935913.037,212,4721.119244,167.8049927,Pomponio,23
213,1,6007693.856,1935912.529,213,4724.400151,168.7630005,Pomponio,23
214,1,6007697.098,1935912.022,214,4727.680785,169.3399963,Pomponio,23
215,1,6007700.339,1935911.515,215,4730.961693,170.1360016,Pomponio,23
216,1,6007703.58,1935911.007,216,4734.2426,170.3130035,Pomponio,23
217,1,6007706.822,1935910.5,217,4737.523234,170.8049927,Pomponio,23
218,1,6007710.063,1935909.993,218,4740.804142,171.401001,Pomponio,23
219,1,6007713.305,1935909.485,219,4744.0851,172.1190033,Pomponio,23
220,1,6007716.546,1935908.978,220,4747.365683,173.2460022,Pomponio,23
221,1,6007719.787,1935908.47,221,4750.646641,173.0410004,Pomponio,23
222,1,6007723.029,1935907.963,222,4753.927549,173.102005,Pomponio,23
223,1,6007726.27,1935907.456,223,4757.208507,173.2830048,Pomponio,23
224,1,6007729.511,1935906.948,224,4760.48909,173.9349976,Pomponio,23
225,1,6007732.753,1935906.441,225,4763.770048,173.7839966,Pomponio,23
226,1,6007735.994,1935905.934,226,4767.050956,173.9850006,Pomponio,23
227,1,6007739.235,1935905.426,227,4770.33159,174.279007,Pomponio,23
228,1,6007742.477,1935904.919,228,4773.612497,174.3009949,Pomponio,23
229,1,6007745.718,1935904.412,229,4776.893405,174.7590027,Pomponio,23
230,1,6007748.959,1935903.904,230,4780.174039,175.0780029,Pomponio,23
231,1,6007752.201,1935903.397,231,4783.454946,174.8370056,Pomponio,23
232,1,6007755.442,1935902.889,232,4786.735904,175.1289978,Pomponio,23
233,1,6007758.684,1935902.382,233,4790.016812,175.2250061,Pomponio,23
234,1,6007761.925,1935901.875,234,4793.297446,175.1179962,Pomponio,23
235,1,6007765.166,1935901.367,235,4796.578353,175.8560028,Pomponio,23
236,1,6007768.408,1935900.86,236,4799.859311,175.8959961,Pomponio,23
237,1,6007771.649,1935900.353,237,4803.139895,175.8650055,Pomponio,23
238,1,6007774.89,1935899.845,238,4806.420853,176.1690063,Pomponio,23
239,1,6007778.132,1935899.338,239,4809.70176,176.4929962,Pomponio,23
240,1,6007781.373,1935898.831,240,4812.982343,176.9589996,Pomponio,23
241,1,6007784.614,1935898.323,241,4816.263302,176.496994,Pomponio,23
242,1,6007787.856,1935897.816,242,4819.544209,176.6629944,Pomponio,23
243,1,6007791.097,1935897.308,243,4822.824843,176.848999,Pomponio,23
244,1,6007794.339,1935896.801,244,4826.10575,177.0709991,Pomponio,23
245,1,6007797.58,1935896.294,245,4829.386709,177.2460022,Pomponio,23
246,1,6007800.821,1935895.786,246,4832.667616,177.3820038,Pomponio,23
247,1,6007804.063,1935895.279,247,4835.94825,177.3000031,Pomponio,23
248,1,6007807.304,1935894.772,248,4839.229157,177.2489929,Pomponio,23
249,1,6007810.545,1935894.264,249,4842.510116,177.3070068,Pomponio,23
250,1,6007813.787,1935893.757,250,4845.790699,177.4360046,Pomponio,23
251,1,6007817.028,1935893.249,251,4849.071657,177.6589966,Pomponio,23
252,1,6007820.27,1935892.742,252,4852.352564,177.9340057,Pomponio,23
253,1,6007823.511,1935892.235,253,4855.633148,178.0200043,Pomponio,23
254,1,6007826.752,1935891.727,254,4858.914106,177.7449951,Pomponio,23
255,1,6007829.994,1935891.22,255,4862.195013,177.9949951,Pomponio,23
256,1,6007833.235,1935890.713,256,4865.475972,178.1470032,Pomponio,23
257,1,6007836.476,1935890.205,257,4868.756555,178.4100037,Pomponio,23
258,1,6007839.718,1935889.698,258,4872.037513,178.4900055,Pomponio,23
259,1,6007842.959,1935889.191,259,4875.31842,178.8439941,Pomponio,23
260,1,6007846.2,1935888.683,260,4878.599054,178.246994,Pomponio,23
261,1,6007849.442,1935888.176,261,4881.879962,178.3890076,Pomponio,23
262,1,6007852.683,1935887.668,262,4885.16092,178.4049988,Pomponio,23
263,1,6007855.924,1935887.161,263,4888.441503,178.4620056,Pomponio,23
264,1,6007859.166,1935886.654,264,4891.722411,178.8159943,Pomponio,23
265,1,6007862.407,1935886.146,265,4895.003369,178.6880035,Pomponio,23
266,1,6007865.649,1935885.639,266,4898.284276,178.7899933,Pomponio,23
267,1,6007868.89,1935885.131,267,4901.56491,178.8150024,Pomponio,23
268,1,6007872.131,1935884.624,268,4904.845818,178.9989929,Pomponio,23
269,1,6007875.373,1935884.117,269,4908.126776,178.8540039,Pomponio,23
270,1,6007878.614,1935883.61,270,4911.407359,179.1920013,Pomponio,23
271,1,6007881.855,1935883.102,271,4914.688317,179.0899963,Pomponio,23
272,1,6007885.097,1935882.595,272,4917.969225,179.2140045,Pomponio,23
273,1,6007888.338,1935882.087,273,4921.249859,179.227005,Pomponio,23
274,1,6007891.579,1935881.58,274,4924.530766,179.1560059,Pomponio,23
275,1,6007894.821,1935881.072,275,4927.811724,179.2460022,Pomponio,23
276,1,6007898.062,1935880.565,276,4931.092632,179.5859985,Pomponio,23
277,1,6007901.304,1935880.058,277,4934.373215,179.6670074,Pomponio,23
278,1,6007904.545,1935879.55,278,4937.654173,179.6889954,Pomponio,23
279,1,6007907.786,1935879.043,279,4940.935081,179.5919952,Pomponio,23
280,1,6007911.028,1935878.536,280,4944.215715,178.2310028,Pomponio,23
281,1,6007914.269,1935878.028,281,4947.496622,177.1450043,Pomponio,23
282,1,6007917.511,1935877.521,282,4950.77758,175.5829926,Pomponio,23
283,1,6007920.752,1935877.014,283,4954.058164,174.3070068,Pomponio,23
284,1,6007923.993,1935876.506,284,4957.339122,173.6150055,Pomponio,23
285,1,6007927.235,1935875.999,285,4960.620029,171.9700012,Pomponio,23
286,1,6007930.476,1935875.491,286,4963.900987,169.4279938,Pomponio,23
287,1,6007933.717,1935874.984,287,4967.181571,168.7359924,Pomponio,23
288,1,6007936.959,1935874.477,288,4970.462478,168.7100067,Pomponio,23
289,1,6007940.2,1935873.969,289,4973.743436,168.6080017,Pomponio,23
290,1,6007943.441,1935873.462,290,4977.02402,168.7160034,Pomponio,23
291,1,6007946.683,1935872.955,291,4980.304978,168.7839966,Pomponio,23
292,1,6007949.924,1935872.447,292,4983.585885,169.9140015,Pomponio,23
293,1,6007953.165,1935871.94,293,4986.866519,172.2910004,Pomponio,23
294,1,6007956.407,1935871.433,294,4990.147427,174.4649963,Pomponio,23
295,1,6007959.648,1935870.925,295,4993.428385,174.076004,Pomponio,23
296,1,6007962.89,1935870.418,296,4996.709292,172.7649994,Pomponio,23
297,1,6007966.131,1935869.91,297,4999.989926,172.7649994,Pomponio,23
298,1,6007969.372,1935869.403,298,5003.270834,171.1750031,Pomponio,23
299,1,6007972.614,1935868.896,299,5006.551792,170.1869965,Pomponio,23
300,1,6007975.855,1935868.388,300,5009.832375,172.128006,Pomponio,23
301,1,6007979.096,1935867.881,301,5013.113282,172.7539978,Pomponio,23
302,1,6007982.338,1935867.374,302,5016.394241,174.7070007,Pomponio,23
303,1,6007985.579,1935866.866,303,5019.674824,175.7109985,Pomponio,23
304,1,6007988.82,1935866.359,304,5022.955782,176.4190063,Pomponio,23
305,1,6007992.062,1935865.852,305,5026.23669,176.7920074,Pomponio,23
306,1,6007995.303,1935865.344,306,5029.517648,175.2089996,Pomponio,23
307,1,6007998.544,1935864.837,307,5032.798231,175.9850006,Pomponio,23
308,1,6008001.786,1935864.329,308,5036.079189,176.8659973,Pomponio,23
309,1,6008005.027,1935863.822,309,5039.360097,177.371994,Pomponio,23
